run_id,input_run_id,failed_flag,phi,meas_phi,regul_phi,heads,qdrn,mr,oname:h_otype:lst_usecol:ap1_time:2.0,oname:h_otype:lst_usecol:p23_time:2.0,oname:h_otype:lst_usecol:p24_time:2.0,oname:h_otype:lst_usecol:p25_time:2.0,oname:h_otype:lst_usecol:p26_time:2.0,oname:h_otype:lst_usecol:p27_time:2.0,oname:h_otype:lst_usecol:p28_time:2.0,oname:h_otype:lst_usecol:p29_time:2.0,oname:h_otype:lst_usecol:p30_time:2.0,oname:h_otype:lst_usecol:p32_time:2.0,oname:h_otype:lst_usecol:p33_time:2.0,oname:h_otype:lst_usecol:p34_time:2.0,oname:h_otype:lst_usecol:p37_time:2.0,oname:h_otype:lst_usecol:p38_time:2.0,oname:h_otype:lst_usecol:p39_time:2.0,oname:h_otype:lst_usecol:p40_time:2.0,oname:h_otype:lst_usecol:p8_time:2.0,oname:h_otype:lst_usecol:pf_time:2.0,oname:h_otype:lst_usecol:ph_time:2.0,oname:h_otype:lst_usecol:prg_time:2.0,oname:h_otype:lst_usecol:pzhm1_time:2.0,oname:h_otype:lst_usecol:r20_time:2.0,oname:h_otype:lst_usecol:r21_time:2.0,oname:h_otype:lst_usecol:rck1_time:2.0,oname:h_otype:lst_usecol:rck2_time:2.0,oname:q_otype:lst_usecol:bar_time:2.0,oname:q_otype:lst_usecol:gal_time:2.0,oname:mr_otype:lst_usecol:bar_time:2,oname:mr_otype:lst_usecol:gal_time:2,oname:mr_otype:lst_usecol:r20_time:2,oname:mr_otype:lst_usecol:r21_time:2
0,base,0,14409733.28798,14409733.28798,0,13994884.6597275,409280.361033475,5568.26721907114,12.91275739,15.60741855,14.32028246,12.74044751,13.74244815,16.79485654,16.27050146,18.39819051,18.25238435,10.36830817,10.18192456,11.38648852,10.3419215,10.9000814,13.28472762,15.06331114,13.50408553,14.28665161,14.36614048,11.54613208,13.11425278,11.14536697,12.21291975,10.49305746,10.65284868,-0.93862,-1.6548,0,-0.0630837232557112,0,0
1,pname:hk_inst:0_ptype:pp_pstyle:m_x:408051.03_y:6429181.70_zone:1_1.258925E+00,0,14427332.3187966,14427332.3187966,0,14012192.9726913,409571.272120194,5568.07398509615,12.918314,15.6100419,14.32941423,12.74519797,13.74764515,16.80700869,16.2861464,18.42259313,18.26290001,10.36913407,10.18246253,11.38790983,10.34289253,10.90173932,13.29093112,15.07439289,13.50970601,14.28708495,14.36688709,11.54654742,13.11636398,11.14755523,12.21739463,10.49364898,10.65368181,-0.93924,-1.6552,0,-0.0630699812320354,0,0
2,pname:hk_inst:0_ptype:pp_pstyle:m_x:408051.03_y:6429181.70_zone:1_1.584893E+00,0,14444959.8493987,14444959.8493987,0,14029498.1792557,409820.910059393,5640.76008356167,12.92385439,15.61268497,14.33851215,12.74992955,13.75280755,16.81907201,16.30172259,18.44699835,18.27343791,10.36995948,10.18300082,11.38932863,10.34386349,10.90339632,13.29711079,15.08542634,13.51532348,14.28751738,14.36763159,11.54696248,13.11846622,11.14974196,12.22185926,10.49424009,10.65451398,-0.93986,-1.6555,0,-0.0682203106069231,0,0
3,pname:hk_inst:0_ptype:pp_pstyle:m_x:408051.03_y:6429181.70_zone:1_1.995262E+00,0,14462476.6693142,14462476.6693142,0,14046765.3934357,410070.670963073,5640.60491546286,12.92936717,15.61534319,14.34755775,12.75463287,13.75792657,16.83102673,16.31719819,18.47135099,18.28397975,10.37078284,10.1835384,11.39074216,10.3448325,10.90504916,13.30325425,15.09638939,13.52092656,14.28794811,14.36837261,11.54737637,13.1205555,11.15192278,12.22630445,10.4948296,10.65534359,-0.94048,-1.6558,0,-0.0682093557319656,0,0
4,pname:hk_inst:0_ptype:pp_pstyle:m_x:408051.03_y:6429181.70_zone:1_2.511886E+00,0,14479962.6218463,14479962.6218463,0,14063960.1761719,410361.984639232,5640.46103519319,12.9348415,15.61801212,14.35653329,12.75929894,13.76299358,16.84285371,16.33254294,18.49559639,18.29450662,10.37160235,10.1840744,11.39214726,10.34579746,10.90669443,13.30934962,15.10726112,13.52650416,14.28837642,14.3691084,11.54778873,13.12262732,11.15409321,12.23072139,10.49541636,10.65616865,-0.9411,-1.6562,0,-0.0681991976268535,0,0
5,pname:hk_inst:0_ptype:pp_pstyle:m_x:408051.03_y:6429181.70_zone:1_3.162278E+00,0,14497299.6822158,14497299.6822158,0,14081047.7326599,410611.999247872,5639.95030808622,12.94026591,15.62068606,14.3654207,12.76391852,13.76800143,16.85453618,16.34772572,18.5196785,18.305,10.37241679,10.18460717,11.3935421,10.34675697,10.90832914,13.31538485,15.1180198,13.53204432,14.2888013,14.36983854,11.5481977,13.1246792,11.15624929,12.23510076,10.49599923,10.65698851,-0.94172,-1.6565,0,-0.0681631385553913,0,0
6,pname:hk_inst:0_ptype:pp_pstyle:m_x:408151.03_y:6429181.70_zone:1_1.258925E+00,0,14423164.2756383,14423164.2756383,0,14008070.3474494,409525.824383874,5568.10380505542,12.91641185,15.61033466,14.32565897,12.74318955,13.74454515,16.7990608,16.27861336,18.42352759,18.26450654,10.36898132,10.18238795,11.38754771,10.34274275,10.90145014,13.28835032,15.0692341,13.50884118,14.28694637,14.36663197,11.54644603,13.11547486,11.14716121,12.21609413,10.4935288,10.6534981,-0.93922,-1.6551,0,-0.0630721019252169,0,0
7,pname:hk_inst:0_ptype:pp_pstyle:m_x:408151.03_y:6429181.70_zone:1_1.584893E+00,0,14436612.0051726,14436612.0051726,0,14021313.9990832,409729.995302274,5568.01078712325,12.92008677,15.61321116,14.33107652,12.74595259,13.74667077,16.8033326,16.28680512,18.44897292,18.27654325,10.36965414,10.18284989,11.38860912,10.34356298,10.90281879,13.29200043,15.07521123,13.51359906,14.28724164,14.3671252,11.54675979,13.11670559,11.14895612,12.21928168,10.49399987,10.6541479,-0.93982,-1.6553,0,-0.0630654867879131,0,0
8,pname:hk_inst:0_ptype:pp_pstyle:m_x:408151.03_y:6429181.70_zone:1_1.995262E+00,0,14450206.0643208,14450206.0643208,0,14034591.7113535,409973.659160993,5640.693806261,12.92377515,15.61604513,14.33652451,12.74873132,13.74882104,16.80766405,16.29506025,18.4744729,18.28847943,10.37032553,10.18330967,11.38967088,10.34438086,10.90418505,13.29567087,15.08123076,13.518351,14.28753691,14.3676193,11.54707285,13.1179426,11.15074864,12.22247646,10.49446987,10.654797,-0.94041,-1.6556,0,-0.0682156314471603,0,0
9,pname:hk_inst:0_ptype:pp_pstyle:m_x:408151.03_y:6429181.70_zone:1_2.511886E+00,0,14463735.16132,14463735.16132,0,14047879.1869991,410215.410076192,5640.5642447337,12.92746982,15.61883406,14.34199199,12.75152023,13.75099177,16.81204662,16.30336157,18.49997327,18.3003009,10.37099434,10.18376659,11.39073109,10.34519505,10.90554659,13.29935437,15.08728043,13.52308882,14.28783165,14.36811338,11.54738473,13.11918342,11.1525357,12.22567245,10.49493806,10.65544426,-0.94099,-1.6559,0,-0.0682064843485765,0,0
