,sidx,idx_strs,pargp3,parval1_3,3
0,"('JPT_ECL_AVAL',)",idx0:jpt_ecl_aval,criv,1.0,0.99970342234999998165534407235099934041500091552734375000000000000
1,"('HAILLAN5',)",idx0:haillan5,criv,1.0,0.9997033859299999658531987734022550284862518310546875000000000
2,"('HAILLAN2',)",idx0:haillan2,criv,1.0,0.9997033488100000031550962376059032976627349853515625000000000
3,"('HAILLAN3',)",idx0:haillan3,criv,1.0,0.9997033388599999570445220342662651091814041137695312500000000
4,"('JPT_SEUIL_AVAL',)",idx0:jpt_seuil_aval,criv,1.0,0.9997034015100000337028518515580799430608749389648437500000000000000
5,"('JPT_ECL_AMONT',)",idx0:jpt_ecl_amont,criv,1.0,0.999703346819999949524060411931714043021202087402343750000000000000
6,"('BUSSAGUET_AMONT',)",idx0:bussaguet_amont,criv,1.0,0.99970331305000004196159579805680550634860992431640625000000000000000
7,"('THIL_AMONT',)",idx0:thil_amont,criv,1.0,0.999703250020000044884227463626302778720855712890625000000000000
8,"('MOULINAT_AVAL',)",idx0:moulinat_aval,criv,1.0,0.999703370059999985031140568025875836610794067382812500000000000000
9,"('GAJAC',)",idx0:gajac,criv,1.0,0.9997033815300000458847762274672277271747589111328125000000
10,"('THIL_AVAL',)",idx0:thil_aval,criv,1.0,0.99970337596000002911011961259646341204643249511718750000000000
11,"('BLANC_AMONT',)",idx0:blanc_amont,criv,1.0,0.9997034126399999554024589087930507957935333251953125000000000000
12,"('HAILLAN4',)",idx0:haillan4,criv,1.0,0.9997034266500000043720319808926433324813842773437500000000000
13,"('MAJOLAN',)",idx0:majolan,criv,1.0,0.999703364970000007971862032718490809202194213867187500000000
14,"('HAILLAN1',)",idx0:haillan1,criv,1.0,0.9997034023199999897002498983056284487247467041015625000000000
15,"('NOIR_AMONT',)",idx0:noir_amont,criv,1.0,0.999703442409999976092649376369081437587738037109375000000000000
16,"('NOIR_AVAL',)",idx0:noir_aval,criv,1.0,0.99970332655000004873357966062030754983425140380859375000000000
17,"('BUSSAGUET_AVAL',)",idx0:bussaguet_aval,criv,1.0,0.9997034157899999939900226308964192867279052734375000000000000000000
18,"('MOULINAT_AMONT',)",idx0:moulinat_amont,criv,1.0,0.9997033966599999654789598935167305171489715576171875000000000000000
